string_code;en;it;description
main_title;Main;Principale;title of master view controller
main_from_lbl;From;Da;from label in language selection
main_to_lbl;To;a;to label in language selection
main_trn_btn;Translate;Traduci;translate button text
main_input_lbl;Text to translate;Testo da tradurre;label of input box of text to be translated
main_input_sct;Input;Input;input
